iter	Passed	Remaining
0	1	105
1	2	105
2	3	101
3	4	96
4	4	93
5	5	91
6	6	92
7	7	91
8	9	91
9	10	91
10	11	90
11	12	89
12	14	98
13	16	99
14	17	100
15	18	98
16	19	96
17	21	97
18	22	95
19	23	95
20	24	93
21	25	91
22	26	89
23	27	88
24	28	86
25	29	85
26	31	84
27	32	83
28	33	82
29	34	81
30	35	79
31	36	78
32	37	76
33	38	75
34	39	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	46	66
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	55	55
50	57	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	71	41
63	72	40
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	113	2
98	114	1
99	115	0
